frame,motion_idx,motion_frame,server_motion_idx,server_frame_idx,sync_status,body_pos_max_diff,body_pos_mean_diff,dof_max_diff,dof_mean_diff
77,34,56,34,22,SYNC,0.000000,0.000000,0.780027,0.170985
78,34,56,34,22,SYNC,0.000000,0.000000,0.825162,0.174555
79,34,57,34,22,SYNC,0.000000,0.000000,0.842211,0.176848
80,34,58,34,22,SYNC,0.000000,0.000000,0.849585,0.178181
81,34,58,34,22,SYNC,0.000000,0.000000,0.835764,0.177406
82,34,59,34,22,SYNC,0.000000,0.000000,0.807864,0.175317
83,34,59,34,22,SYNC,0.000000,0.000000,0.770353,0.173595
84,34,60,34,22,SYNC,0.000000,0.000000,0.718097,0.173149
85,34,61,34,22,SYNC,0.000000,0.000000,0.663269,0.172166
86,34,61,34,22,SYNC,0.000000,0.000000,0.604408,0.170079
87,34,62,34,22,SYNC,0.000000,0.000000,0.548545,0.167518
88,34,62,34,22,SYNC,0.000000,0.000000,0.511599,0.164964
89,34,63,34,22,SYNC,0.000000,0.000000,0.512636,0.162119
90,34,64,34,22,SYNC,0.000000,0.000000,0.512091,0.162787
91,34,64,34,22,SYNC,0.000000,0.000000,0.508058,0.162733
92,34,65,34,22,SYNC,0.000000,0.000000,0.501382,0.161676
93,34,65,34,22,SYNC,0.000000,0.000000,0.492900,0.159935
94,34,66,34,22,SYNC,0.000000,0.000000,0.480617,0.156889
95,34,67,34,22,SYNC,0.000000,0.000000,0.467074,0.155831
96,34,67,34,22,SYNC,0.000000,0.000000,0.461141,0.155672
97,34,68,34,22,SYNC,0.000000,0.000000,0.492274,0.154067
98,34,68,34,22,SYNC,0.000000,0.000000,0.515692,0.151476
99,34,69,34,22,SYNC,0.000000,0.000000,0.521378,0.147099
100,34,70,34,22,SYNC,0.000000,0.000000,0.521462,0.142443
101,34,70,34,22,SYNC,0.000000,0.000000,0.509594,0.137938
102,34,71,34,22,SYNC,0.000000,0.000000,0.489789,0.133507
103,34,71,34,22,SYNC,0.000000,0.000000,0.464567,0.128731
104,34,72,34,22,SYNC,0.000000,0.000000,0.428980,0.126233
105,34,73,34,22,SYNC,0.000000,0.000000,0.391556,0.125315
106,34,73,34,22,SYNC,0.000000,0.000000,0.410892,0.124069
107,34,74,34,22,SYNC,0.000000,0.000000,0.430126,0.123024
108,34,74,34,22,SYNC,0.000000,0.000000,0.449289,0.123394
109,34,75,34,22,SYNC,0.000000,0.000000,0.469089,0.123853
110,34,76,34,22,SYNC,0.000000,0.000000,0.489008,0.127327
111,34,76,34,22,SYNC,0.000000,0.000000,0.509122,0.131124
112,34,77,34,22,SYNC,0.000000,0.000000,0.528652,0.134130
113,34,77,34,22,SYNC,0.000000,0.000000,0.547782,0.136840
114,34,78,34,22,SYNC,0.000000,0.000000,0.564451,0.138649
115,34,79,34,22,SYNC,0.000000,0.000000,0.579705,0.141464
116,34,79,34,22,SYNC,0.000000,0.000000,0.591496,0.143367
117,34,80,34,22,SYNC,0.000000,0.000000,0.599089,0.144369
